Customer Code,Customer Name,Country Name,Employee ,Customer Type
C1372,Sea Brothers Holding,RUSSIAN FEDERATION,Unassigned,Potential
C1065,Sea Consortium Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1328,SEA EAGLE SHIPPING,UNITED ARAB EMIRATES,Unassigned,Potential
C1930,Sea Eagles Marine Services,UNITED ARAB EMIRATES,Unassigned,Potential
C1932,Sea Eagles Shipping L.L.C. (Sharjah),UNITED ARAB EMIRATES,Unassigned,Potential
C1066,Sea Eagles Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1758,Sea Gate Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1782,Sea Horse Middle East Marine,UNITED ARAB EMIRATES,Unassigned,Potential
C1067,Sea horse Middle East Marine Services LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1284,SEA LIGHT SHIPPING,UNITED ARAB EMIRATES,Unassigned,Potential
C1805,SEA LINK SHIPPING LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0464,SEA LION SHIP MANAGEMENT PVT LTD,INDIA,Unassigned,Potential
C1068,SEA MAX SHIP MANAGEMENT LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C2826,SEA OIL PUBLIC COMPANY LIMITED,THAILAND,SASCHA,Potential
C022620,Sea Pearl Shipping Services Limited,,Unassigned,Potential
C1701,SEA POWER MARINE SERVICES LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1069,Sea Rock Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1777,Sea Rocks Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1975,Sea Royal Ship Management Pvt.Ltd,INDIA,Unassigned,Potential
C1070,Sea Sands Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1697,Sea Shore and Services S.P.C.,BAHRAIN,Unassigned,Potential
C2653,"SEA SUPPORT VENTURES, LLC",UNITED STATES OF AMERICA,Unassigned,Potential
C1124,SEA TRANSPORT NIGERIA LIMITED,NIGERIA,Unassigned,Potential
C1071,Sea Trucks Group FZE,UNITED ARAB EMIRATES,Unassigned,Potential
C1933,"Sea Trucks Group, FZE",UNITED ARAB EMIRATES,Unassigned,Potential
C1935,Sea Waves Shipping,UNITED ARAB EMIRATES,Unassigned,Potential
C1001,Sea World Management,FRANCE,Unassigned,Potential
C1212,SEABED GEOSOLUTIONS,UNITED ARAB EMIRATES,Unassigned,Potential
C1072,Seabed Geosolutions JLT,UNITED ARAB EMIRATES,Unassigned,Potential
C1073,Seabridge,UNITED ARAB EMIRATES,Unassigned,Potential
C0381,SEACON SHIPS MGMT-JIANGSU,CHINA,Unassigned,Potential
C1961,SEACOR Offshore Dubai LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1074,Seadrill Management AME Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C1075,Seadrill Tellus Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C1936,Seagull Shipping LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1822,Seahorse Towage International Pte Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
SEALIGHT KOREA,SEALIGHT KOREA,,Unassigned,Potential
C0303,SEALINK NAVIGATION LTD,GEORGIA,Unassigned,Potential
C1407,Sealion (Toisa fleet),UNITED KINGDOM,Unassigned,Potential
C1937,Seamaster Maritime (Fujairah) LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1821,Seamax Ship Management LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1981,Seamec Limited,INDIA,Unassigned,Potential
C1938,Seaport International Shipping Co LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1076,Seaport International Shipping Co. LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1271,SEAPORT INTERNATIONAL SHIPPING LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0248,"SEASONS SHIPPING CO.,LTD","KOREA, REPUBLIC OF",Unassigned,Potential
C1077,Seaspeed Marine Management LLC,UNITED ARAB EMIRATES,Unassigned,Potential
V0491,SEASTAR SHIPPING NAVIGATION LTD,MALTA,Unassigned,Potential
C1078,"Seatrans Chemical Tankers AS, DA-Desk",UNITED ARAB EMIRATES,Unassigned,Potential
C1336,Seatrek Trans - Odessa office,EUROPEAN UNION,Unassigned,Potential
C1079,Seaways International,UNITED ARAB EMIRATES,Unassigned,Potential
C1221,SEAWAYS INTERNATIONAL LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0739,SEAWOLF TANKERS INC,UNITED STATES OF AMERICA,Unassigned,Potential
C1080,Seaworks FZE,UNITED ARAB EMIRATES,Unassigned,Potential
C0467,SEAWORTHY INTERCONTINENTAL,INDIA,Unassigned,Potential
C1081,Second Power llc,UNITED ARAB EMIRATES,Unassigned,Potential
